,name,english_name,directors,writer,actors,rate,style1,style2,style3,country,language,date,duration,introduction,dataID,url,pic
102,这个杀手不太冷静,,邢文雄,邢文雄,马丽,6.1,喜剧,,,中国大陆,汉语普通话,2022,109.0,魏成功（魏翔饰）非常热爱表演，然而其貌不扬的他往往只能够在电影里觅得一个跑龙套的角色，可即便如此，魏成功还是无比认真的对待着自己的每一个甚至连名字都没有的角色，这股子劲头引起了当红女明星米兰（马丽饰）的注意。  米兰的弟弟米勒（黄才伦饰）是一名电影导演，黑帮大佬哈维（陈明昊饰）给他的电影投资了不菲的资金，哪知道亏得底裤都不剩，哈维一直爱慕着米兰，想要娶她为妻，可是米兰誓死不从。这一天，当哈维决定和姐弟两算总账之际，米兰告诉哈维自己认识他一直想要寻找的杀手卡尔（艾伦饰）。哈维给了米兰一天的时间，让他把卡尔带到自己面前，实际上并不认识卡尔的米兰决定让魏成功来扮演这位冷酷的杀手。,35505100,https://movie.douban.com/subject/35505100/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2814949620.jpg
257,富家穷路,第六季 Schitt's Creek Season 6,丹·列维,尤金·列维,尤金·列维,9.4,喜剧,,,加拿大,英语,,,最终季,34445470,https://movie.douban.com/subject/34445470/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574685696.jpg
849,硅谷,第六季 Silicon Valley Season 6,迈克·乔吉,迈克·乔吉,托马斯·米德蒂奇,9.4,喜剧,,,美国,英语,,,新一季将继续聚焦当下科技世界的核心，这些最有可能成功的人，往往是最不容易“处理”成功的人。托马斯·米德迪奇、扎克·伍兹、库梅尔·南贾尼、马丁·斯塔尔、阿曼达·克鲁、欧阳万成、苏珊·克莱尔、马特·罗斯与乔什·布雷纳均回归出演。“《硅谷》是我们人生与工作中的高光时刻，”剧集创作人说，“我们肯定会想念它，但用第六季来完结还不错。”,30194648,https://movie.douban.com/subject/30194648/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2571694925.jpg
905,呖咕呖咕新年财,,杜琪峰,韦家辉,刘德华,6.8,喜剧,,,中国香港,粤语,2002,96.0,德华（刘德华饰）喜欢打牌，以打牌为生的他出名好牌技好牌品，与他相恋多年的咏琪（梁咏琪饰）因为牌品差，始终没能与德华结为连理，令她顿足。德华的弟弟天乐（古天乐饰）知道哥哥要以打牌为生养活患有痴呆症的母亲和正在读书的自己，决定跟青云（刘青云饰）打牌比试，谁知连连落败。  一次牌局中，咏琪不甘被德华以牌品的问题多次推搪婚约，便咀咒他从此“一世摸烂牌”，跟着同样拜师不成的青云离开了。  咀咒真的灵验了，使德华家道中落，但一向乐观的他深信自己的“好朋友”会回来的。在弟弟公司举行的麻将大赛中一路稳打稳扎，与青云再次对垒，最后能否获胜呢？,1306133,https://movie.douban.com/subject/1306133/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1122559210.jpg
968,我才不要和你做朋友呢,,何念,肖诗瑶,庄达菲,5.9,喜剧,,,中国大陆,汉语普通话,2024,114.0,17岁的学霸高中生李进步（庄达菲饰）阴差阳错回到了学渣妈妈李青桐（陈昊宇饰）的少女时代，见到了素未谋面的渣男爸爸（王皓饰）和4D彩色的过世姥爷（贾冰饰）姥姥（牛莉饰）。她灵机一动便分分钟融入了妈妈的朋友圈，手撕渣爸，疯狂撮合Crush吴智勋（毕雯珺饰），下定决心“我爸由我不由妈”的她开启了笑料百出的逆天换爸之路......,35208466,https://movie.douban.com/subject/35208466/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2908694975.jpg
1038,绝世高手,,卢正雨,卢正雨,卢正雨,5.9,喜剧,,,中国大陆,汉语普通话,2017,116.0,一个先天没有知觉，挨揍不疼却冒充高手的小混混（卢正雨饰），一个人称女张飞的暴力少女（郭采洁饰），一个醉心于织毛衣的过气大师（范伟饰），一个只会做黑暗料理的美食大亨（蔡国庆饰），一个可以用汤操纵情绪的当代孟婆（陈冲饰），一个身患强迫症的日本武士（仓田保昭饰），为了一本失传的秘笈，引发了一场绝世高手的爆笑对决。,26754831,https://movie.douban.com/subject/26754831/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2462744662.jpg
1191,从前有座灵剑山,,于中中,范侃,许凯,7.0,喜剧,,,中国大陆,汉语普通话,,,青春古风爆笑梗片《从前有座灵剑山》，讲述了灵剑派诚邀各路精英前来参加升仙大会，为进一步扩充门派力量。因彗星陨落，末法大劫而降临的奇才王陆，怀着千年未有的空灵根，带着现代人思维，踏入灵剑派山门，与师傅王舞互坑，凭借科学知识和超级情商，与海云帆等人碾压异界，走上成为绝世强者的反套路之路！,26877434,https://movie.douban.com/subject/26877434/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2574861321.jpg
1395,不要太期待世界末日,Nu astepta prea mult de la sfârsitul lumii,拉杜·裘德,拉杜·裘德,伊林卡·马诺拉切,7.7,喜剧,,,罗马尼亚 ,罗马尼亚语 ,2023,163.0,一名超负荷工作、工资过低的制作助理不得不拍摄一部由跨国公司委托拍摄的工作场所安全视频。  但一位受访者发表的声明迫使他重新编造自己的故事，以适应公司的叙述。,35772577,https://movie.douban.com/subject/35772577/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2902389739.jpg
1396,我的马塞洛,Marcello Mio,克里斯托夫·奥诺雷,克里斯托夫·奥诺雷,齐雅拉·马斯楚安尼,5.8,喜剧,,,法国 ,法语 ,2024,120.0,故事围绕齐雅拉·马斯楚安尼展开，她因为父亲的光环受到从四面八方传来的压力，于是决定通过自己的努力让父亲“复活”。她将化身马塞洛，穿着像父亲一样，并要求现在开始被视为男演员，而不是女演员。周围的人都认为这只是一个短暂的玩笑，但齐雅拉决意不放弃自己的新身份……,36117859,https://movie.douban.com/subject/36117859/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2907625924.jpg
1422,西虹市首富,,闫非,闫非,沈腾,6.6,喜剧,,,中国大陆,汉语普通话,2018,118.0,西虹市丙级球队大翔队的守门员王多鱼（沈腾饰）因比赛失利被教练开除，一筹莫展之际王多鱼突然收到神秘人士金老板（张晨光饰）的邀请，被告知自己竟然是保险大亨王老太爷（李立群饰）的唯一继承人，遗产高达百亿！但是王老太爷给出了一个非常奇葩的条件，那就是要求王多鱼在一个月内花光十亿，还不能告诉身边人，否则失去继承权。王多鱼毫不犹豫签下了“军令状”，与好友庄强（张一鸣饰）以及财务夏竹（宋芸桦饰）一起开启了“挥金之旅”，即将成为西虹市首富的王多鱼，第一次感受到了做富人的快乐，同时也发现想要挥金如土实在没有那么简单！,27605698,https://movie.douban.com/subject/27605698/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2529206747.jpg
