Task_ID,Start_Time,Completion_Time,Duration
4,1,11,10
8,1,11,10
12,1,11,10
16,1,11,10
20,1,11,10
2,1,16,15
6,1,16,15
10,1,16,15
14,1,16,15
18,1,16,15
1,1,21,20
5,1,21,20
9,1,21,20
13,1,21,20
17,1,21,20
3,1,26,25
7,1,26,25
11,1,26,25
15,1,26,25
19,1,26,25
4,40,50,10
8,40,50,10
12,40,50,10
16,40,50,10
2,40,55,15
6,40,55,15
10,40,55,15
14,40,55,15
18,40,55,15
1,39,59,20
5,39,59,20
9,39,59,20
13,39,59,20
17,39,59,20
3,39,64,25
7,39,64,25
11,39,64,25
15,39,64,25
19,39,64,25
21,39,64,25
24,39,64,25
25,39,64,25
4,77,87,10
8,77,87,10
12,77,87,10
2,77,92,15
6,77,92,15
10,77,92,15
14,77,92,15
18,77,92,15
1,76,96,20
5,76,96,20
9,76,96,20
13,76,96,20
17,76,96,20
26,76,96,20
28,76,96,20
30,76,96,20
3,77,Running,23
7,77,Running,23
11,77,Running,23
15,77,Running,23
