Index,Class Name
0,001.Black_footed_Albatross
1,001.Black_footed_Albatross
2,001.Black_footed_Albatross
3,001.Black_footed_Albatross
4,001.Black_footed_Albatross
5,001.Black_footed_Albatross
6,001.Black_footed_Albatross
7,001.Black_footed_Albatross
8,001.Black_footed_Albatross
9,001.Black_footed_Albatross
10,001.Black_footed_Albatross
11,001.Black_footed_Albatross
12,001.Black_footed_Albatross
13,001.Black_footed_Albatross
14,001.Black_footed_Albatross
15,001.Black_footed_Albatross
16,001.Black_footed_Albatross
17,001.Black_footed_Albatross
18,001.Black_footed_Albatross
19,001.Black_footed_Albatross
20,001.Black_footed_Albatross
21,001.Black_footed_Albatross
22,001.Black_footed_Albatross
23,001.Black_footed_Albatross
24,001.Black_footed_Albatross
25,001.Black_footed_Albatross
26,001.Black_footed_Albatross
27,001.Black_footed_Albatross
28,001.Black_footed_Albatross
29,001.Black_footed_Albatross
30,001.Black_footed_Albatross
31,001.Black_footed_Albatross
32,001.Black_footed_Albatross
33,001.Black_footed_Albatross
34,001.Black_footed_Albatross
35,001.Black_footed_Albatross
36,001.Black_footed_Albatross
37,001.Black_footed_Albatross
38,001.Black_footed_Albatross
39,001.Black_footed_Albatross
40,001.Black_footed_Albatross
41,001.Black_footed_Albatross
42,001.Black_footed_Albatross
43,001.Black_footed_Albatross
44,001.Black_footed_Albatross
45,001.Black_footed_Albatross
46,001.Black_footed_Albatross
47,001.Black_footed_Albatross
48,001.Black_footed_Albatross
49,001.Black_footed_Albatross
50,001.Black_footed_Albatross
51,001.Black_footed_Albatross
52,001.Black_footed_Albatross
53,001.Black_footed_Albatross
54,001.Black_footed_Albatross
55,001.Black_footed_Albatross
56,001.Black_footed_Albatross
57,001.Black_footed_Albatross
58,001.Black_footed_Albatross
59,001.Black_footed_Albatross
60,002.Laysan_Albatross
61,002.Laysan_Albatross
62,002.Laysan_Albatross
63,002.Laysan_Albatross
64,002.Laysan_Albatross
65,002.Laysan_Albatross
66,002.Laysan_Albatross
67,002.Laysan_Albatross
68,002.Laysan_Albatross
69,002.Laysan_Albatross
70,002.Laysan_Albatross
71,002.Laysan_Albatross
72,002.Laysan_Albatross
73,002.Laysan_Albatross
74,002.Laysan_Albatross
75,002.Laysan_Albatross
76,002.Laysan_Albatross
77,002.Laysan_Albatross
78,002.Laysan_Albatross
79,002.Laysan_Albatross
80,002.Laysan_Albatross
81,002.Laysan_Albatross
82,002.Laysan_Albatross
83,002.Laysan_Albatross
84,002.Laysan_Albatross
85,002.Laysan_Albatross
86,002.Laysan_Albatross
87,002.Laysan_Albatross
88,002.Laysan_Albatross
89,002.Laysan_Albatross
90,002.Laysan_Albatross
91,002.Laysan_Albatross
92,002.Laysan_Albatross
93,002.Laysan_Albatross
94,002.Laysan_Albatross
95,002.Laysan_Albatross
96,002.Laysan_Albatross
97,002.Laysan_Albatross
98,002.Laysan_Albatross
99,002.Laysan_Albatross
100,002.Laysan_Albatross
101,002.Laysan_Albatross
102,002.Laysan_Albatross
103,002.Laysan_Albatross
104,002.Laysan_Albatross
105,002.Laysan_Albatross
106,002.Laysan_Albatross
107,002.Laysan_Albatross
108,002.Laysan_Albatross
109,002.Laysan_Albatross
110,002.Laysan_Albatross
111,002.Laysan_Albatross
112,002.Laysan_Albatross
113,002.Laysan_Albatross
114,002.Laysan_Albatross
115,002.Laysan_Albatross
116,002.Laysan_Albatross
117,002.Laysan_Albatross
118,002.Laysan_Albatross
119,002.Laysan_Albatross
120,003.Sooty_Albatross
121,003.Sooty_Albatross
122,003.Sooty_Albatross
123,003.Sooty_Albatross
124,003.Sooty_Albatross
125,003.Sooty_Albatross
126,003.Sooty_Albatross
127,003.Sooty_Albatross
128,003.Sooty_Albatross
129,003.Sooty_Albatross
130,003.Sooty_Albatross
131,003.Sooty_Albatross
132,003.Sooty_Albatross
133,003.Sooty_Albatross
134,003.Sooty_Albatross
135,003.Sooty_Albatross
136,003.Sooty_Albatross
137,003.Sooty_Albatross
138,003.Sooty_Albatross
139,003.Sooty_Albatross
140,003.Sooty_Albatross
141,003.Sooty_Albatross
142,003.Sooty_Albatross
143,003.Sooty_Albatross
144,003.Sooty_Albatross
145,003.Sooty_Albatross
146,003.Sooty_Albatross
147,003.Sooty_Albatross
148,003.Sooty_Albatross
149,003.Sooty_Albatross
150,003.Sooty_Albatross
151,003.Sooty_Albatross
152,003.Sooty_Albatross
153,003.Sooty_Albatross
154,003.Sooty_Albatross
155,003.Sooty_Albatross
156,003.Sooty_Albatross
157,003.Sooty_Albatross
158,003.Sooty_Albatross
159,003.Sooty_Albatross
160,003.Sooty_Albatross
161,003.Sooty_Albatross
162,003.Sooty_Albatross
163,003.Sooty_Albatross
164,003.Sooty_Albatross
165,003.Sooty_Albatross
166,003.Sooty_Albatross
167,003.Sooty_Albatross
168,003.Sooty_Albatross
169,003.Sooty_Albatross
170,003.Sooty_Albatross
171,003.Sooty_Albatross
172,003.Sooty_Albatross
173,003.Sooty_Albatross
174,003.Sooty_Albatross
175,003.Sooty_Albatross
176,003.Sooty_Albatross
177,003.Sooty_Albatross
178,004.Groove_billed_Ani
179,004.Groove_billed_Ani
180,004.Groove_billed_Ani
181,004.Groove_billed_Ani
182,004.Groove_billed_Ani
183,004.Groove_billed_Ani
184,004.Groove_billed_Ani
185,004.Groove_billed_Ani
186,004.Groove_billed_Ani
187,004.Groove_billed_Ani
188,004.Groove_billed_Ani
189,004.Groove_billed_Ani
190,004.Groove_billed_Ani
191,004.Groove_billed_Ani
192,004.Groove_billed_Ani
193,004.Groove_billed_Ani
194,004.Groove_billed_Ani
195,004.Groove_billed_Ani
196,004.Groove_billed_Ani
197,004.Groove_billed_Ani
198,004.Groove_billed_Ani
199,004.Groove_billed_Ani
200,004.Groove_billed_Ani
201,004.Groove_billed_Ani
202,004.Groove_billed_Ani
203,004.Groove_billed_Ani
204,004.Groove_billed_Ani
205,004.Groove_billed_Ani
206,004.Groove_billed_Ani
207,004.Groove_billed_Ani
208,004.Groove_billed_Ani
209,004.Groove_billed_Ani
210,004.Groove_billed_Ani
211,004.Groove_billed_Ani
212,004.Groove_billed_Ani
213,004.Groove_billed_Ani
214,004.Groove_billed_Ani
215,004.Groove_billed_Ani
216,004.Groove_billed_Ani
217,004.Groove_billed_Ani
218,004.Groove_billed_Ani
219,004.Groove_billed_Ani
220,004.Groove_billed_Ani
221,004.Groove_billed_Ani
222,004.Groove_billed_Ani
223,004.Groove_billed_Ani
224,004.Groove_billed_Ani
225,004.Groove_billed_Ani
226,004.Groove_billed_Ani
227,004.Groove_billed_Ani
228,004.Groove_billed_Ani
229,004.Groove_billed_Ani
230,004.Groove_billed_Ani
231,004.Groove_billed_Ani
232,004.Groove_billed_Ani
233,004.Groove_billed_Ani
234,004.Groove_billed_Ani
235,004.Groove_billed_Ani
236,004.Groove_billed_Ani
237,004.Groove_billed_Ani
238,005.Crested_Auklet
239,005.Crested_Auklet
240,005.Crested_Auklet
241,005.Crested_Auklet
242,005.Crested_Auklet
243,005.Crested_Auklet
244,005.Crested_Auklet
245,005.Crested_Auklet
246,005.Crested_Auklet
247,005.Crested_Auklet
248,005.Crested_Auklet
249,005.Crested_Auklet
250,005.Crested_Auklet
251,005.Crested_Auklet
252,005.Crested_Auklet
253,005.Crested_Auklet
254,005.Crested_Auklet
255,005.Crested_Auklet
256,005.Crested_Auklet
257,005.Crested_Auklet
258,005.Crested_Auklet
259,005.Crested_Auklet
260,005.Crested_Auklet
261,005.Crested_Auklet
262,005.Crested_Auklet
263,005.Crested_Auklet
264,005.Crested_Auklet
265,005.Crested_Auklet
266,005.Crested_Auklet
267,005.Crested_Auklet
268,005.Crested_Auklet
269,005.Crested_Auklet
270,005.Crested_Auklet
271,005.Crested_Auklet
272,005.Crested_Auklet
273,005.Crested_Auklet
274,005.Crested_Auklet
275,005.Crested_Auklet
276,005.Crested_Auklet
277,005.Crested_Auklet
278,005.Crested_Auklet
279,005.Crested_Auklet
280,005.Crested_Auklet
281,005.Crested_Auklet
282,006.Least_Auklet
283,006.Least_Auklet
284,006.Least_Auklet
285,006.Least_Auklet
286,006.Least_Auklet
287,006.Least_Auklet
288,006.Least_Auklet
289,006.Least_Auklet
290,006.Least_Auklet
291,006.Least_Auklet
292,006.Least_Auklet
293,006.Least_Auklet
294,006.Least_Auklet
295,006.Least_Auklet
296,006.Least_Auklet
297,006.Least_Auklet
298,006.Least_Auklet
299,006.Least_Auklet
300,006.Least_Auklet
301,006.Least_Auklet
302,006.Least_Auklet
303,006.Least_Auklet
304,006.Least_Auklet
305,006.Least_Auklet
306,006.Least_Auklet
307,006.Least_Auklet
308,006.Least_Auklet
309,006.Least_Auklet
310,006.Least_Auklet
311,006.Least_Auklet
312,006.Least_Auklet
313,006.Least_Auklet
314,006.Least_Auklet
315,006.Least_Auklet
316,006.Least_Auklet
317,006.Least_Auklet
318,006.Least_Auklet
319,006.Least_Auklet
320,006.Least_Auklet
321,006.Least_Auklet
322,006.Least_Auklet
323,007.Parakeet_Auklet
324,007.Parakeet_Auklet
325,007.Parakeet_Auklet
326,007.Parakeet_Auklet
327,007.Parakeet_Auklet
328,007.Parakeet_Auklet
329,007.Parakeet_Auklet
330,007.Parakeet_Auklet
331,007.Parakeet_Auklet
332,007.Parakeet_Auklet
333,007.Parakeet_Auklet
334,007.Parakeet_Auklet
335,007.Parakeet_Auklet
336,007.Parakeet_Auklet
337,007.Parakeet_Auklet
338,007.Parakeet_Auklet
339,007.Parakeet_Auklet
340,007.Parakeet_Auklet
341,007.Parakeet_Auklet
342,007.Parakeet_Auklet
343,007.Parakeet_Auklet
344,007.Parakeet_Auklet
345,007.Parakeet_Auklet
346,007.Parakeet_Auklet
347,007.Parakeet_Auklet
348,007.Parakeet_Auklet
349,007.Parakeet_Auklet
350,007.Parakeet_Auklet
351,007.Parakeet_Auklet
352,007.Parakeet_Auklet
353,007.Parakeet_Auklet
354,007.Parakeet_Auklet
355,007.Parakeet_Auklet
356,007.Parakeet_Auklet
357,007.Parakeet_Auklet
358,007.Parakeet_Auklet
359,007.Parakeet_Auklet
360,007.Parakeet_Auklet
361,007.Parakeet_Auklet
362,007.Parakeet_Auklet
363,007.Parakeet_Auklet
364,007.Parakeet_Auklet
365,007.Parakeet_Auklet
366,007.Parakeet_Auklet
367,007.Parakeet_Auklet
368,007.Parakeet_Auklet
369,007.Parakeet_Auklet
370,007.Parakeet_Auklet
371,007.Parakeet_Auklet
372,007.Parakeet_Auklet
373,007.Parakeet_Auklet
374,007.Parakeet_Auklet
375,007.Parakeet_Auklet
376,008.Rhinoceros_Auklet
377,008.Rhinoceros_Auklet
378,008.Rhinoceros_Auklet
379,008.Rhinoceros_Auklet
380,008.Rhinoceros_Auklet
381,008.Rhinoceros_Auklet
382,008.Rhinoceros_Auklet
383,008.Rhinoceros_Auklet
384,008.Rhinoceros_Auklet
385,008.Rhinoceros_Auklet
386,008.Rhinoceros_Auklet
387,008.Rhinoceros_Auklet
388,008.Rhinoceros_Auklet
389,008.Rhinoceros_Auklet
390,008.Rhinoceros_Auklet
391,008.Rhinoceros_Auklet
392,008.Rhinoceros_Auklet
393,008.Rhinoceros_Auklet
394,008.Rhinoceros_Auklet
395,008.Rhinoceros_Auklet
396,008.Rhinoceros_Auklet
397,008.Rhinoceros_Auklet
398,008.Rhinoceros_Auklet
399,008.Rhinoceros_Auklet
400,008.Rhinoceros_Auklet
401,008.Rhinoceros_Auklet
402,008.Rhinoceros_Auklet
403,008.Rhinoceros_Auklet
404,008.Rhinoceros_Auklet
405,008.Rhinoceros_Auklet
406,008.Rhinoceros_Auklet
407,008.Rhinoceros_Auklet
408,008.Rhinoceros_Auklet
409,008.Rhinoceros_Auklet
410,008.Rhinoceros_Auklet
411,008.Rhinoceros_Auklet
412,008.Rhinoceros_Auklet
413,008.Rhinoceros_Auklet
414,008.Rhinoceros_Auklet
415,008.Rhinoceros_Auklet
416,008.Rhinoceros_Auklet
417,008.Rhinoceros_Auklet
418,008.Rhinoceros_Auklet
419,008.Rhinoceros_Auklet
420,008.Rhinoceros_Auklet
421,008.Rhinoceros_Auklet
422,008.Rhinoceros_Auklet
423,008.Rhinoceros_Auklet
424,009.Brewer_Blackbird
425,009.Brewer_Blackbird
426,009.Brewer_Blackbird
427,009.Brewer_Blackbird
428,009.Brewer_Blackbird
429,009.Brewer_Blackbird
430,009.Brewer_Blackbird
431,009.Brewer_Blackbird
432,009.Brewer_Blackbird
433,009.Brewer_Blackbird
434,009.Brewer_Blackbird
435,009.Brewer_Blackbird
436,009.Brewer_Blackbird
437,009.Brewer_Blackbird
438,009.Brewer_Blackbird
439,009.Brewer_Blackbird
440,009.Brewer_Blackbird
441,009.Brewer_Blackbird
442,009.Brewer_Blackbird
443,009.Brewer_Blackbird
444,009.Brewer_Blackbird
445,009.Brewer_Blackbird
446,009.Brewer_Blackbird
447,009.Brewer_Blackbird
448,009.Brewer_Blackbird
449,009.Brewer_Blackbird
450,009.Brewer_Blackbird
451,009.Brewer_Blackbird
452,009.Brewer_Blackbird
453,009.Brewer_Blackbird
454,009.Brewer_Blackbird
455,009.Brewer_Blackbird
456,009.Brewer_Blackbird
457,009.Brewer_Blackbird
458,009.Brewer_Blackbird
459,009.Brewer_Blackbird
460,009.Brewer_Blackbird
461,009.Brewer_Blackbird
462,009.Brewer_Blackbird
463,009.Brewer_Blackbird
464,009.Brewer_Blackbird
465,009.Brewer_Blackbird
466,009.Brewer_Blackbird
467,009.Brewer_Blackbird
468,009.Brewer_Blackbird
469,009.Brewer_Blackbird
470,009.Brewer_Blackbird
471,009.Brewer_Blackbird
472,009.Brewer_Blackbird
473,009.Brewer_Blackbird
474,009.Brewer_Blackbird
475,009.Brewer_Blackbird
476,009.Brewer_Blackbird
477,009.Brewer_Blackbird
478,009.Brewer_Blackbird
479,009.Brewer_Blackbird
480,009.Brewer_Blackbird
481,009.Brewer_Blackbird
482,009.Brewer_Blackbird
483,010.Red_winged_Blackbird
484,010.Red_winged_Blackbird
485,010.Red_winged_Blackbird
486,010.Red_winged_Blackbird
487,010.Red_winged_Blackbird
488,010.Red_winged_Blackbird
489,010.Red_winged_Blackbird
490,010.Red_winged_Blackbird
491,010.Red_winged_Blackbird
492,010.Red_winged_Blackbird
493,010.Red_winged_Blackbird
494,010.Red_winged_Blackbird
495,010.Red_winged_Blackbird
496,010.Red_winged_Blackbird
497,010.Red_winged_Blackbird
498,010.Red_winged_Blackbird
499,010.Red_winged_Blackbird
500,010.Red_winged_Blackbird
501,010.Red_winged_Blackbird
502,010.Red_winged_Blackbird
503,010.Red_winged_Blackbird
504,010.Red_winged_Blackbird
505,010.Red_winged_Blackbird
506,010.Red_winged_Blackbird
507,010.Red_winged_Blackbird
508,010.Red_winged_Blackbird
509,010.Red_winged_Blackbird
510,010.Red_winged_Blackbird
511,010.Red_winged_Blackbird
512,010.Red_winged_Blackbird
513,010.Red_winged_Blackbird
514,010.Red_winged_Blackbird
515,010.Red_winged_Blackbird
516,010.Red_winged_Blackbird
517,010.Red_winged_Blackbird
518,010.Red_winged_Blackbird
519,010.Red_winged_Blackbird
520,010.Red_winged_Blackbird
521,010.Red_winged_Blackbird
522,010.Red_winged_Blackbird
523,010.Red_winged_Blackbird
524,010.Red_winged_Blackbird
525,010.Red_winged_Blackbird
526,010.Red_winged_Blackbird
527,010.Red_winged_Blackbird
528,010.Red_winged_Blackbird
529,010.Red_winged_Blackbird
530,010.Red_winged_Blackbird
531,010.Red_winged_Blackbird
532,010.Red_winged_Blackbird
533,010.Red_winged_Blackbird
534,010.Red_winged_Blackbird
535,010.Red_winged_Blackbird
536,010.Red_winged_Blackbird
537,010.Red_winged_Blackbird
538,010.Red_winged_Blackbird
539,010.Red_winged_Blackbird
540,010.Red_winged_Blackbird
541,010.Red_winged_Blackbird
542,010.Red_winged_Blackbird
543,011.Rusty_Blackbird
544,011.Rusty_Blackbird
545,011.Rusty_Blackbird
546,011.Rusty_Blackbird
547,011.Rusty_Blackbird
548,011.Rusty_Blackbird
549,011.Rusty_Blackbird
550,011.Rusty_Blackbird
551,011.Rusty_Blackbird
552,011.Rusty_Blackbird
553,011.Rusty_Blackbird
554,011.Rusty_Blackbird
555,011.Rusty_Blackbird
556,011.Rusty_Blackbird
557,011.Rusty_Blackbird
558,011.Rusty_Blackbird
559,011.Rusty_Blackbird
560,011.Rusty_Blackbird
561,011.Rusty_Blackbird
562,011.Rusty_Blackbird
563,011.Rusty_Blackbird
564,011.Rusty_Blackbird
565,011.Rusty_Blackbird
566,011.Rusty_Blackbird
567,011.Rusty_Blackbird
568,011.Rusty_Blackbird
569,011.Rusty_Blackbird
570,011.Rusty_Blackbird
571,011.Rusty_Blackbird
572,011.Rusty_Blackbird
573,011.Rusty_Blackbird
